Title,People_Review,Selling_Price,Deliver_Charges,Seller_Rating,Shipping_Timing_Rating,Discount_Percentage,Original_Price,Chat_Responce_Rate
Red Thorns: A Dark New Ad/ult Romance by Rina Kent,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Oversubscribed: How to Get People Lining Up to Do Business with You by Daniel Priestley book,1 Ratings,Rs. 499,Free,83%,85%,-23%,Rs. 650,100%
Henry Fielding Joseph Andrews English Literature,6 Ratings,Rs. 420,Free,93%,95%,Not Found,Not Found,97%
HYPER FOCUS Book BY CHRIS BHIALEY,No Ratings,Rs. 284,Rs. 99,74%,93%,-43%,Rs. 499,97%
Cambridge English IELTS Academic 11 to 18 Books with Audio QR Code,No Ratings,"Rs. 1,295",Free,New Seller,100%,-68%,"Rs. 4,000",83%
"How the Brain Lost Its Mind: Hysteria, and the Riddle of Mental Illness Allan H. Ropper , Brian Burrell",No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Hurf Se Lafz Tak By Umera Ahmed,1 Ratings,Rs. 229,Rs. 139,80%,100%,-43%,Rs. 400,97%
13 Things Mentally Strong People Don't Do,No Ratings,Rs. 399,Free,New Seller,91%,-60%,Rs. 999,100%
Principles of Marketing 16th Edition by Kotler and Armstrong,No Ratings,Rs. 999,Free,81%,100%,-50%,"Rs. 1,999",100%
God of Malice: A Dark College Romance (Legacy of Gods Book 1) by Rina Kent,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
The Forty Rules of Love Paperback Book by Elif Shafak,1 Ratings,Rs. 275,Free,91%,84%,-54%,Rs. 599,95%
OUTLIERS The Story of Success,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
The Power Of Your Subconscious Mind,1 Ratings,Rs. 650,Free,New Seller,100%,-35%,"Rs. 1,000",100%
Pack Of 2 Aab e Hayat And Main Anmol Best Selling Book,No Ratings,"Rs. 1,648",Rs. 99,80%,100%,-59%,"Rs. 4,000",97%
The BFG By Roald Dahl,2 Ratings,Rs. 445,Free,87%,100%,-78%,"Rs. 1,999",100%
Treasure Island Novel by Robert Louis Stevenson,No Ratings,Rs. 441,Free,86%,100%,-51%,Rs. 899,92%
My Fault by Mercedes Ron,1 Ratings,Rs. 399,Free,86%,100%,-69%,"Rs. 1,299",92%
Sochye Aur Dolat Kamaiye (Think And Grow Rich) Urdu Book By Nepolian Hill,No Ratings,Rs. 299,Free,New Seller,100%,-70%,Rs. 999,83%
Fantastic Mr. Fox By Roald Dahl,2 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
The Extraordinary Cases of Sherlock Holmes / The Great Adventures of Sherlock Holmes / The Hound of the Baskervilles Novel by Arthur Conan Doyle,1 Ratings,Rs. 939,Free,87%,100%,-77%,"Rs. 3,999",100%
Patrus Ke Mazameen book most selling Urdu book,2 Ratings,Rs. 298,Rs. 99,80%,100%,-50%,Rs. 600,97%
Pack of 6 Best selling novels,No Ratings,"Rs. 3,289",Rs. 99,80%,100%,-51%,"Rs. 6,700",97%
DARK PHYCHOLOGY SECRET BEST SELLING book,No Ratings,Rs. 299,Rs. 99,74%,93%,-40%,Rs. 499,97%
Pack Of 2 Hum Kahan Ke Sache The Pahari Ka Qaidi Bi Umera Ahmed,No Ratings,Rs. 598,Rs. 139,80%,100%,-50%,"Rs. 1,200",97%
Wuthering Heights by Emily Br0nte,1 Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Boy: Tales of Childhood By Roald Dahl,3 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
Good to Great: Why Some Companies Make the Leap... and Others Don't By James C. Collins,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Manipulation: Dark Psychology to Manipulate and Control People by Arthur Horn,2 Ratings,Rs. 299,Free,81%,100%,-70%,Rs. 995,100%
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics (Politics of Place #1) by Tim Marshall,3 Ratings,Rs. 346,Free,87%,100%,-80%,"Rs. 1,699",100%
The Hobbit (The Lord of the Rings #0) Book,4 Ratings,Rs. 399,Free,87%,100%,-78%,"Rs. 1,799",100%
The Alchemist by Paulo Coelho,2 Ratings,Rs. 391,Free,86%,83%,-35%,Rs. 600,95%
Aleph a Novel by Paulo Coelho Urdu Edition,2 Ratings,Rs. 396,Free,98%,98%,-34%,Rs. 600,100%
Unwinding Anxiety Book by Judson A. Brewer,No Ratings,Rs. 400,Free,89%,85%,-60%,Rs. 999,55%
Pahari ka qaidi novel by Nimra Ahmed,No Ratings,Rs. 319,Rs. 99,74%,93%,-54%,Rs. 699,97%
Manipulation / The Art Of Psychological Warfare / How To Analyze People With Dark Psychology / How To Analyze People (set of 4 books ),No Ratings,Rs. 999,Free,90%,90%,-67%,"Rs. 2,999",98%
UNRAVEL ME ( TAHEREH MAFI ),No Ratings,Rs. 349,Free,86%,100%,-65%,Rs. 999,92%
40 on Justice / Angels in Your Presence / The Prophet of Mercy / Prayers of the Pious / Meeting Muhammad / Allah_Loves by Omar Suleiman,3 Ratings,"Rs. 1,879",Free,87%,100%,-62%,"Rs. 4,999",100%
The Zahir by Paulo Coelho,7 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
The 48 Laws of Power by Robert Greene,No Ratings,Rs. 499,Free,New Seller,91%,-44%,Rs. 899,100%
